"","date","GPP.daily","GPP.daily.sd","ER.daily","ER.daily.sd","K600.daily","K600.daily.sd","warnings","errors"
"1",2018-01-01,NA,NA,NA,NA,NA,NA,"overall warnings","data don't start when expected"
"2",2018-01-02,-0.000732636009936939,0.0262645522157447,-0.44140597596683,0.0527227595134613,3.47134301931617,0.205518312935439,"overall warnings",""
"3",2018-01-03,0.0197971172785824,0.0258826532402033,-0.468168739632827,0.0579172280012041,4.30671095082381,0.293477399008613,"overall warnings",""
"4",2018-01-04,0.0192221926179872,0.0257611355207398,-0.742646186473213,0.0601128324517268,5.54991975766173,0.306360516586924,"overall warnings",""
"5",2018-01-05,0.0414821836802895,0.0253586488019122,-0.764697212940375,0.055934701601818,5.87328619103097,0.236872501510316,"overall warnings",""
"6",2018-01-06,0.0376318753144409,0.0259718231857486,-0.970268731666166,0.0576540431467833,6.29188744024486,0.227997094134736,"overall warnings",""
"7",2018-01-07,-0.0454783467690471,0.0259906435931017,-0.694923968700663,0.059461590263743,5.90715036095315,0.304166464659945,"overall warnings",""
"8",2018-01-08,-0.025181649277801,0.0266230755654988,-0.352545813519697,0.0526093448593974,3.37628680023711,0.202088805778055,"overall warnings",""
"9",2018-01-09,0.0253557257865654,0.0260844504145725,-0.526806996199375,0.0579167598914276,4.29321076013183,0.290561968756299,"overall warnings",""
"10",2018-01-10,0.00762770619545071,0.0251796461267282,-0.581228382688438,0.0601147562693476,4.95506101494522,0.322651359878511,"overall warnings",""
"11",2018-01-12,0.00617972843010354,0.0264246384126235,-0.550327235156312,0.0612094341102064,5.69061622968151,0.408555768277989,"overall warnings",""
"12",2018-01-13,0.014283374827675,0.0260142563158439,-0.506395544286838,0.0581875559946039,5.61942885687873,0.392068917793782,"overall warnings",""
"13",2018-01-14,0.0122312088464437,0.0267026034606221,-0.365998352182203,0.0521113180002926,4.05340726941898,0.23459308177147,"overall warnings",""
"14",2018-01-15,0.0228373173234651,0.0266455643086074,-0.374715209631758,0.0519112148550859,3.81712364242823,0.239030117036356,"overall warnings",""
"15",2018-01-16,-0.0102454803710674,0.026772450266652,-0.499485804082741,0.0575582745480487,5.41794358066808,0.362571714249158,"overall warnings",""
"16",2018-01-17,-0.00990258007414612,0.0264655480533254,-0.502628324253867,0.0565534916343619,5.22085133538024,0.326980039205688,"overall warnings",""
"17",2018-01-18,0.000391692749790587,0.02727179612451,-0.404492750678453,0.0535445927815418,4.34982296934848,0.240125367536151,"overall warnings",""
"18",2018-01-22,0.0642260502235082,0.0269726928047899,-0.654074986944863,0.0556173776255157,3.58085454114283,0.216995441953909,"overall warnings",""
"19",2018-01-25,0.176565227976198,0.0277872225755062,-1.00710338218236,0.0875203460033833,4.89589184737746,0.374597403421679,"overall warnings",""
"20",2018-01-30,0.0100080792774037,0.0270841139007772,-0.515758766376208,0.0565523476804383,3.68936116181121,0.230386740916764,"overall warnings",""
"21",2018-01-31,0.00766575082108372,0.0270079183932379,-0.460020210019618,0.0568120535235928,3.78944112686948,0.244674346262018,"overall warnings",""
"22",2018-02-01,0.0296057511066723,0.0270978125374387,-0.537713754154753,0.0602448089324208,5.0859212000389,0.365430927384799,"overall warnings",""
"23",2018-02-02,0.0231242565514088,0.0272338572369679,-0.565351545126834,0.0590174792691232,5.30459313998171,0.357919199127342,"overall warnings",""
"24",2018-02-03,0.0253016066312731,0.0271325037595762,-0.326660525877827,0.0524492957342618,3.20773750951742,0.195286440717661,"overall warnings",""
"25",2018-02-04,0.0460010981066131,0.0276797074868587,-0.446681907530208,0.0537991866544447,3.13895146154759,0.208466216462353,"overall warnings",""
"26",2018-02-06,0.0160535091735062,0.0276673046640192,-0.368175142700529,0.0518581101674396,3.44932256649431,0.196380026506287,"overall warnings",""
"27",2018-02-08,0.0216042217420893,0.0279541621759447,-0.363636567233691,0.0525458803816986,3.57726302617004,0.213429350476573,"overall warnings",""
"28",2018-02-10,0.0393490465056807,0.027614304809468,-0.361414102681371,0.0509238381410937,3.24235474302366,0.192387368531563,"overall warnings",""
"29",2018-02-12,0.0488340091305289,0.0288070955551917,-0.402743294560161,0.0533811659562862,3.64479345738985,0.230473647792469,"overall warnings",""
"30",2018-02-13,0.0142111112492863,0.0282118591989578,-0.404338597678426,0.053165365064423,3.98707328206337,0.237077502380331,"overall warnings",""
"31",2018-02-14,0.186782573838737,0.0289597549223711,-0.513672553470337,0.0612147156307083,3.49873514444094,0.227824527942095,"overall warnings",""
"32",2018-02-18,0.353186526269703,0.0297738916047186,-1.19992420731051,0.071149829915192,5.6180447218401,0.28665594342653,"overall warnings",""
"33",2018-02-19,0.00962959408289263,0.0284606725367019,-0.541618099758865,0.0568374296601197,4.20824286979287,0.237355384104779,"overall warnings",""
"34",2018-02-20,0.115982320534761,0.0291432995739155,-0.684415356555458,0.0632583175306633,5.36532070784989,0.352760724731094,"overall warnings",""
"35",2018-02-21,0.060469974891921,0.0286722191070449,-0.592523292580245,0.0597530849871593,5.13258969575387,0.315609974978698,"overall warnings",""
"36",2018-02-22,0.0710060259275456,0.0295280314065743,-0.573709796079096,0.0575780513170306,4.92059788818558,0.287888325076366,"overall warnings",""
"37",2018-02-24,0.037424360903053,0.0296322195589503,-0.392423060338204,0.0530061576436588,3.35404995337531,0.190426541118889,"overall warnings",""
"38",2018-02-25,0.3018848934649,0.0306542706311835,-0.719200228924435,0.0602859892688232,3.44651032561394,0.205438447505581,"overall warnings",""
"39",2018-02-26,0.439667253294519,0.0298003234866944,-0.937260640735048,0.0709466696004195,4.46132003907109,0.294766685280778,"overall warnings",""
